Shipment,Order,Product,Description,Barcodes,Regime,Status,Container,Container location,Pick location,Ordered Qty,Picked Qty,Subst Sku,Subst Desc,Subst Qty
19:00 - 00149269,1637311267010,87730EA,Knorr SK Homestyle Cheddar Pasta 8X131G 131g,068400026488,Ambient,NotAssigned,'-,'-,10-L-10-00-Meal Makers,2,0,'-,'-,'-
19:00 - 00149269,1637311267010,165309EA,Hot Dog Buns 12's 1X520G 520g,277729000004,Ambient,NotAssigned,'-,'-,65-L-00-00-Instore Bakery Brd and Rolls,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,508903EA,LaCocina Tortilla Chips 12X400G 400g,057802109004,Ambient,NotAssigned,'-,'-,11-L-05-00-Snacking,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,24055EA,SnackPac Juicy Gel Cherry/Lmn 99G 12X4Pk 99g,058807412144,Ambient,NotAssigned,'-,'-,08-R-20-00-Snacking,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,439289EA,AylmerTom Petit Ct Grlc/Olv Oil 24X540ML 540ml,"060000659011, 058807659013",Ambient,NotAssigned,'-,'-,10-R-05-00-Canned Food and Ready to Eat,2,0,'-,'-,'-
19:00 - 00149269,1637311267010,57218EA,SnackPac Pudding Lmn Mering 99G 12X4Pk 99g,058807412908,Ambient,NotAssigned,'-,'-,08-R-20-00-Snacking,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,716733EA,IntDelgt Coffee Whitener Dbl Dbl 6X946ML 946ml,041271028638,Chill,NotAssigned,'-,'-,14-R-09-00-Dairy,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,448258EA,Tropicana Juice Orange (No Pulp) 6X1.54L 1.540l,048500203545,Chill,NotAssigned,'-,'-,13-R-01-00-Non-Dairy,2,0,'-,'-,'-
19:00 - 00149269,1637311267010,674890EA,CompNS Tortellini Chs Flld Tre Clr 6X1KG 1kg,055742541076,Chill,NotAssigned,'-,'-,80-L-00-00-Refrigerated Pasta and Sauce,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,498617EA,IntDelgt Van Toffee Caramel 6X946ML 946ml,041271009712,Chill,NotAssigned,'-,'-,14-R-09-00-Dairy,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,490736EA,Lucerne Milk 2% 4X4L 4l,821954078101,Chill,NotAssigned,'-,'-,14-R-01-00-Dairy,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,653774KG,Panache Turkey Oven Rst Honey Mpl 4X2KG 0.230kg,220551000001,Chill,NotAssigned,'-,'-,90-C-00-00-Deli Meat Service,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,5172EA,MaplLodg Wieners Chicken 24X450G 450g,067714000016,Chill,NotAssigned,'-,'-,70-L-00-00-Meat Processed,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,437260EA,Danone Act Yogurt Strd Strawberry 6X650G 650g,056800098273,Chill,NotAssigned,'-,'-,13-R-12-00-Dairy,2,0,'-,'-,'-
19:00 - 00149269,1637311267010,503476EA,Knorr SK Cheddar & Broccoli Rice 8X130G 130g,068400026525,Ambient,NotAssigned,'-,'-,10-L-10-00-Meal Makers,2,0,'-,'-,'-
19:00 - 00149269,1637311267010,473837EA,Kelloggs Cereal Frosted Flakes 12X650G 650g,064100108219,Ambient,NotAssigned,'-,'-,07-L-02-00-Ambient Breakfast,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,657257EA,Comp Cookie Chips Spicy Ginger 12X170G 170g,055742566031,Ambient,NotAssigned,'-,'-,11-R-02-00-Snacking,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,952422EA,Comp Cereal Raisin Bran Maximum 12X755G 755g,055742549027,Ambient,NotAssigned,'-,'-,07-L-04-00-Ambient Breakfast,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,503243EA,Comp Soda Cola Red Diet 8X2L 2l,055742335170,Ambient,NotAssigned,'-,'-,12-L-02-00-Ambient Beverages,5,0,'-,'-,'-
19:00 - 00149269,1637311267010,811312EA,GenMills Cheerios Apple Cinnamon 10X778G 778g,065633134188,Ambient,NotAssigned,'-,'-,07-L-01-00-Ambient Breakfast,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,206711EA,Chapmans Frz Yog Black Jack Cherry 4X2L 2l,062942001767,Freezer,NotAssigned,'-,'-,01-R-03-00-Frozen Ice Cream and Dessert,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,619391EA,Comp Vegetable Mix For Spaghetti 12X750G 750g,055742541472,Freezer,NotAssigned,'-,'-,02-R-07-00-Frozen Meal Makers,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,916623EA,Chapmans IceCrm NSA/LF Slty Crm Pnt 6X1L 1l,062942005154,Freezer,NotAssigned,'-,'-,01-R-01-00-Frozen Ice Cream and Dessert,1,0,'-,'-,'-
19:00 - 00149269,1637311267010,319751EA,Danone Activia Yogurt Cherry 6X650G 650g,056800739022,Chill,NotAssigned,'-,'-,13-R-12-00-Dairy,2,0,'-,'-,'-
