Article,Article Description,PLU,Min Weight(g),Max Weight(g),Target Weight(g),Sub PLU 1,Sub PLU 2,Sub PLU 3
399890,Ham Instore Maple Cured 1X1KG,46384,0.19,0.23,0.21,68154,-,-
150761,Ham Old Fashion Shingle Pack 12X200G,35764,0.18,0.22,0.2,-,-,-
843396,Hmstyl Turkey Breast Mediterranean 2X1KG,40477,0.18,0.22,0.2,-,-,-
425745,HmstyRst Chckn Brst Kettle Fried 2X2.5KG,20123,0.19,0.23,0.21,20015,-,-
425709,HmstyRst Ham Roast Black Forest 4X2.25KG,20020,0.2,0.24,0.22,29410,13938,-
425772,HmstyRst Ham Roast Rosemary 4X2.25KG,20143,0.19,0.23,0.21,-,-,-
425692,HmstyRst Trky Brst Kettle Fried 4X1.5KG,20015,0.19,0.23,0.21,20123,-,-
843402,HmstyRst Turkey Breast Harissa 2X1KG,82729,0.18,0.22,0.2,-,-,-
150773,Honey Ham Shingle Pack 12ct 1X2.4KG,45745,0.18,0.22,0.2,-,-,-
174184,HrvtMeat Euro Hd/Chse Rll F/Grnd 2X2.5KG,35676,0.21,0.25,0.23,-,-,-
619501,IlChestr Cheddar Applewood Smkd VS 1X1KG,68088,0.22,0.28,0.25,-,-,-
654193,Ilchestr Chs Chddr Applwd Smkd 2X3KG,58829,0.13,0.17,0.15,-,-,-
901557,IleDeFrn Cheese Brie Dbl Crm 1X3KG,25290,0.16,0.22,0.19,16021,26074,-
1000242,Jarlsbrg Cheese Half Wheel 1X5KG,66293,0.19,0.23,0.21,-,-,-
784432,Jarlsbrg Cheese Half Wheel 1X5KG,71105,0.18,0.22,0.2,26053,-,-
131244,JMS Bung Bologna 2X2.25KG,25572,0.22,0.26,0.24,-,-,-
1000468,Lesters Old Style Beef Round 2X2KG,17391,0.22,0.26,0.24,31904,-,-
1002312,Lesters Pastrami 2X3.75KG,17394,0.2,0.24,0.22,63408,-,-
164128,Lilydale Chckn Brst Rst Kentucky 2X1.8KG,46833,0.2,0.24,0.22,-,-,-
229595,Lilydale Trky Brst Rst Montreal 2X3.23KG,25212,0.21,0.25,0.23,-,-,-
229579,Lilydale Turkey Brst Roast O/R 2X3.302KG,25211,0.2,0.24,0.22,-,-,-
143055,Lilydale Turkey Brst Rst Mesquite 2X4KG,10421,0.21,0.25,0.23,-,-,-
872139,Lyona Sausage 2X1.71KG,26752,0.18,0.24,0.21,-,-,-
843077,Mammen Dansh Blue Cheese Wheel 1X3.224KG,65446,0.14,0.18,0.16,-,-,-
686483,Manchego Maese Miguel 6 Months 1X3KG,55456,0.14,0.18,0.16,-,-,-
196442,Maple Cured In Store Roasted Ham 1X1KG,27017,0.21,0.25,0.23,-,-,-
272472,MapleLea Ham Black Forest Nat Sel 3X2KG,75437,0.2,0.24,0.22,-,-,-
422547,Mastro Genoa Salami Hot 4X1.2KG,85649,0.14,0.17,0.15,-,-,-
250182,Mastro Genoa Salami O/F 4X1.2KG,85396,0.14,0.17,0.15,-,-,-
130988,Mastro Tuscany Style Roast Ham 2X3.2KG,35751,0.2,0.24,0.22,-,-,-
684213,McLean Roast Beef No Preservt 2X2.5KG,70095,0.18,0.22,0.2,19123,-,-
350713,McLean Turkey Brst Tuscany Cooked 3X2KG,28418,0.19,0.23,0.21,40477,-,-
509500,McLeanMt Ham Blk Forest Cooked 4X1.5KG,21674,0.19,0.23,0.21,29410,-,-
528236,McLeanMt Turkey Breast Oven Rst 4X1.5KG,58224,0.19,0.23,0.21,-,-,-
627566,MrDonair Meat Loafs 4X1.2KG,31915,0.29,0.35,0.32,-,-,-
872467,NortCtry Ham Grlc Kielbasa Vc/Pkd 1X350G,36980,0.3,0.36,0.33,-,-,-
132262,Oka Cheese 1X2.5KG,45965,0.14,0.18,0.16,67587,-,-
183815,Oka Cheese L'Artisan 1X4.5KG,67587,0.16,0.2,0.18,45965,-,-
595884,Panache Angus Roast Beef 4X2KG,19123,0.19,0.23,0.21,-,-,-
653776,Panache Chicken Oven Roasted 4X2KG,78937,0.21,0.25,0.23,-,-,-
653801,Panache Chicken Oven Rstd Sriracha 4X2KG,78940,0.22,0.26,0.24,-,-,-
573752,Panache Ham Old Style Smoked 2X2.7KG,39363,0.2,0.24,0.22,20020,-,-
569491,Panache Ham Smoked Black Forest 4X2KG,29410,0.21,0.25,0.23,13938,20625,-
655669,Panache Ham Sugarbush Maple 4X2KG,68154,0.22,0.26,0.24,67283,68154,-
803552,Panache Turkey BreastRst Southwest 4X2KG,71104,0.21,0.25,0.23,-,-,-
653035,Panache Turkey Oven Roasted 8X1KG,20534,0.207,0.253,0.23,70080,70087,-
653774,Panache Turkey Oven Rst Honey Mpl 4X2KG,20551,0.21,0.25,0.23,70080,20534,-
653770,Panache Turkey Oven Rst Ppcorn Spc 4X2KG,70087,0.21,0.25,0.23,70080,20534,-
653762,Panache Turkey Oven Rstd Buffalo 4X2KG,70086,0.21,0.25,0.23,20534,-,-
653758,Panache Turkey Rstd SundrdTom&Bsl 4X2KG,70080,0.21,0.25,0.23,20534,70087,70086
566832,Panache Wdg Parmigiano Reggiano 25X200G,28666,0.18,0.22,0.25,-,-,-
619499,Parmigiano Reggiano 24Mth VS 1X1KG,68085,0.36,0.44,0.4,71167,-,-
151119,Pepperoni Shingle Pack 12Ct 1X3.3KG,45698,0.22,0.26,0.24,23963,-,-
131160,Piller Cervelat Salami 2X1.5KG,65644,0.14,0.18,0.16,65647,-,-
131162,Piller German Salami 2X1.339KG,15662,0.16,0.2,0.18,65647,-,-
130813,Piller Hungarian Salami 2X1.5KG,65647,0.16,0.2,0.18,15662,-,-
137474,Piller Pepperseed Salami 2X1.5KG,65657,0.14,0.18,0.16,-,-,-
81646,Pillers Old Forest Salami 1X2.7KG,15650,0.14,0.18,0.16,20967,-,-
150739,Pizza Shingle Pack 12ct 1X2.88KG,23963,0.21,0.25,0.23,-,-,-
1001880,Regiano Parmesan 1/8 Wheel 1X4.5KG,26331,0.16,0.19,0.18,-,71167,28666
872203,Sausage Turkey Beer 2X1.57KG,37480,0.19,0.23,0.21,-,-,-
397810,Schneidr Capicollo Hot 2X1.5KG,21731,0.17,0.21,0.19,25649,65644,-
766659,Schneidr Half Ham Old Fashioned 4X2.4KG,20625,0.2,0.25,0.22,-,-,-
133930,Schneidr Ham & Bacon Loaf 2X2.5KG,15630,0.18,0.22,0.2,-,-,-
425784,Schneidr Ham Pepper 4X2.4KG,20283,0.2,0.24,0.22,-,-,-
812125,Schneidr Sausage Jumbo Summer 4X1.75KG,20967,0.17,0.21,0.19,15650,-,-
81375,Schneidr Summer Sausage Bag 2X1.5KG,25649,0.17,0.21,0.19,-,-,-
487629,Sensatns Salami Peppered 2X830G,56087,0.15,0.19,0.17,-,-,-
416750,Sikorski Sausage Garlic 2X2.5KG,58298,0.24,0.3,0.27,-,-,-
422541,SnDaniel Mortadella OF No10 1X4.6KG,73896,0.19,0.23,0.21,85542,-,-
492883,StAgur Cheese 1X2.3KG,53619,0.1,0.125,0.11,65272,-,-
176818,Swtzrlnd Cheese Emmental Kng Cut 1X6.5KG,26284,0.18,0.22,0.2,60426,-,-
453086,Swtzrlnd Cheese Swiss Gruyere 1X2.5KG,26053,0.144,0.176,0.16,26284,-,-
695508,Swtzrlnd Langruti Cheese Gruyere 2X2.3KG,60426,0.14,0.18,0.16,26284,-,-
