Article,Article Description,PLU,Min Weight(g),Max Weight(g),Target Weight(g),Sub PLU 1,Sub PLU 2,Sub PLU 3
550756,Rst Pepper Atlantic Salmon Fillet 1X1KG,58831,0.22,0.26,0.24,-,-,-
572007,Salmon Fillets Wild Spring PF 1X1KG,68221,0.22,0.3,0.26,-,-,-
871819,Salmon Smoked BBQ Tips Chum 1X4.54KG,28801,0.14,0.17,0.16,-,-,-
304426,SeaDlght Mahi Fillet 1-3 1X4.54KG,99059,0.08,0.28,0.18,-,-,-
572023,SeaDlght Mahi Mahi Fillet Frozen 1X1KG,68220,0.454,1.362,0.91,-,-,-
693245,Shrimp Cooked Prev Frozen 31/40 CT 1X1KG,29527,0.102,0.138,0.12,-,-,-
651586,Smoked Atlantic Salmon Candy Nug 1X1KG,38567,0.114,0.172,0.14,-,-,-
620598,Snow Crab Clstrs Frzn 5/8oz 1X13.6KG,38381,0.45,0.55,0.5,-,-,-
6142,Steelhead Trout Fillets Farmed 1X1KG,18726,0.32,0.4,0.36,-,-,-
961728,Stuffed Mushroom Cap Crab&Shrimp 1X1KG,88161,0.23,0.28,0.25,-,-,-
672208,Stuffed Mushroom Caps Crab 1X1KG,40250,0.18,0.25,0.22,48499,-,-
835005,Tilapia Flts C/Nut Crstd Pr/Fzn 1X4.54KG,82547,0.15,0.184,0.15,18066,-,-
667396,UpprCrst Potato Crusted Cod 1X4.54KG,18066,0.119,0.147,0.133,82547,-,-
706268,VS Frsh Altantic Salmon Flt Skn On 1X1KG,21892,0.82,1,0.91,19018,-,-
